decade,X.Intercept.
Archib,0.5267473322986014
Balkhar,-0.41075239637870037
Bezhta,0.5359700591869662
Burkikhan,0.19615933155626775
Chabanmakhi,0.3729869384739087
Chankurbe,-0.1721711131710211
Chitab,0.8860711371312857
Chumli,-0.055430641393793285
Chuni,1.945946500898267
Darvag,-2.4482959756912783
Dorgeli,-1.9553387929777621
Durangi,-0.00445374941905993
Dyubek,0.1592728426688638
Dzhavgat,0.4070606167926369
Ersi,-1.3807947796061002
Fiy,0.005674864293289876
Gdym,0.15323518267591682
Gelmets,0.20011182466563643
Hinuq,1.2245377495729823
Ikhrek,0.1306689104264964
Karata,0.15078543543849743
Khlyut,0.24382839091129083
Khnov,0.4410934197789254
Khpyuk,0.331963661650463
Kiche,0.5417016545605985
Kidero,0.29422940792963476
Kina,0.5021706490978249
Kizhani,0.08906459485309107
Kubachi,-0.5181564843055285
Kuli,-1.4590149295904709
Kurdul,0.12700446765071452
Mallakent,0.18289163276982573
Megeb,0.4700024304303589
Mikik,0.3265916504013605
Mukar,-1.066589250093574
Obokh,-0.4170119635438293
Rikvani,0.3645993608089714
Rutul,0.4879607068849875
Shalib,0.2699669121473185
Shangoda,0.9009420859961873
Shukty,-1.1407744876326638
Sutbuk,-0.0636953379764755
Tad-Magitl,0.18299174586508724
Tlibisho,0.38076716149934886
Tsukhta,-0.48448747164361916
Tsulikana,0.0943868723879694
Tukita,0.37410861985495475
Tumenler,-0.13470136975386596
Upper Ubekimakhi,-0.17849819409844506
Uragi,-0.3088777757768686
Uri,-0.2538679952490429
Urtsaki,-0.1384238993692719
Yangikent,-0.322339625185393
Zilo,0.22615141229109817
